window,test_year,threshold,placed,won,lost,push,net_pnl,total_wagered,roi_pct,spread_bets,ml_bets,no_odds,no_spread
all_prior,2009,-200,47,22,23,2,-43.94,470.0,-9.3,33,14,1,0
all_prior,2009,-250,43,20,21,2,-44.13,430.0,-10.3,30,13,1,0
all_prior,2009,-300,37,20,15,2,9.89,370.0,2.7,24,13,1,0
all_prior,2009,-350,37,20,15,2,-2.54,370.0,-0.7,21,16,1,0
all_prior,2010,-200,35,19,16,0,11.19,350.0,3.2,27,8,0,0
all_prior,2010,-250,32,17,15,0,-5.68,320.0,-1.8,21,11,0,0
all_prior,2010,-300,29,17,12,0,18.68,290.0,6.4,18,11,0,0
all_prior,2010,-350,25,16,9,0,39.58,250.0,15.8,16,9,0,0
all_prior,2011,-200,40,19,21,0,-46.08,400.0,-11.5,30,10,0,0
all_prior,2011,-250,35,17,18,0,-43.4,350.0,-12.4,25,10,0,0
all_prior,2011,-300,30,14,16,0,-43.7,300.0,-14.6,22,8,0,0
all_prior,2011,-350,26,14,12,0,-3.7,260.0,-1.4,20,6,0,0
