feature,importance
BADJ EM,0.025695719782455453
WAB,0.024915022522959598
BARTHAG,0.019276860903208213
KADJ EM,0.0190839109310119
BADJ EM RANK,0.015518375877084899
KADJ EM RANK,0.015405519136713479
BARTHAG RANK,0.015365597717100915
TALENT RANK,0.015053750383375713
TALENT,0.014112545496834829
ELITE SOS RANK,0.014051351581606187
AST%,0.012887055732693012
2PT% RANK,0.012886900111103982
WIN%,0.012866599950340344
ELITE SOS,0.012742632921061956
BADJ D,0.01265203555780328
