method,odds_years,n_years,n_bettable,stake,spread_odds,ats_cover_pct_all,margin_mae,spread_mae,model_corr,spread_corr,breakeven_pct,generated_utc
pit,"2013,2014,2015,2016,2017,2018,2019,2021",8,477,100.0,-110,61.4,8.49,9.02,0.587,0.525,52.4,2026-07-12T18:35:53.845565+00:00
agg,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021",12,731,100.0,-110,65.6,7.77,8.79,0.653,0.518,52.4,2026-07-12T18:35:53.845565+00:00
