window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2009,R64,Texas,7,10,0.8340909090909091,-190,165,-4.5,14,True,True,False
all_prior,2009,R64,Duke,2,15,1.0,-6000,4100,-24.0,24,True,False,True
all_prior,2009,R32,Pittsburgh,1,8,0.7424242424242425,-500,350,-9.0,8,True,False,False
all_prior,2009,R32,Xavier,4,12,0.609090909090909,-145,125,-2.5,11,True,True,False
all_prior,2009,R32,Villanova,3,6,0.609090909090909,-150,130,-2.5,20,True,True,False
all_prior,2009,R32,Duke,2,7,0.5333333333333333,-355,295,-7.5,5,True,False,False
all_prior,2009,S16,Pittsburgh,1,4,0.8666666666666667,-300,250,-6.5,5,True,False,False
all_prior,2009,S16,Duke,2,3,0.8333333333333334,-140,120,-2.5,-23,False,False,False
all_prior,2009,E8,Pittsburgh,1,3,0.9249999999999999,-135,115,-2.0,-2,False,False,False
all_prior,2009,R64,Connecticut,1,16,0.8333333333333334,-3500,2100,-20.5,56,True,True,False
all_prior,2009,R64,BYU,8,9,0.8333333333333334,-150,130,-3.0,-13,False,False,False
all_prior,2009,R64,Purdue,5,12,1.0,-420,330,-8.5,5,True,False,False
all_prior,2009,R64,Washington,4,13,0.8757575757575758,-250,210,-6.0,13,True,True,False
all_prior,2009,R64,Marquette,6,11,0.8757575757575758,-265,225,-6.0,1,True,False,False
all_prior,2009,R64,Missouri,3,14,0.9666666666666667,-1100,775,-12.5,19,True,True,False
all_prior,2009,R64,Maryland,10,7,0.6333333333333333,110,-130,1.0,13,True,True,False
all_prior,2009,R64,Memphis,2,15,1.0,-5000,3100,-19.5,11,True,False,False
all_prior,2009,R32,Connecticut,1,9,0.9583333333333334,-600,450,-9.5,26,True,True,False
all_prior,2009,R32,Purdue,5,4,0.6333333333333333,100,-120,1.5,2,True,True,False
all_prior,2009,R32,Missouri,3,6,0.8333333333333334,-155,135,-3.0,4,True,True,False
all_prior,2009,R32,Memphis,2,10,0.8333333333333334,-550,425,-10.0,19,True,True,False
all_prior,2009,S16,Connecticut,1,5,0.609090909090909,-300,250,-6.5,12,True,True,False
all_prior,2009,S16,Memphis,2,3,0.8888888888888888,-200,170,-4.0,-11,False,False,False
all_prior,2009,E8,Connecticut,1,3,0.609090909090909,-260,220,-6.0,7,True,True,False
all_prior,2009,R64,Louisville,1,16,0.9090909090909092,-9000,5000,-21.5,20,True,False,False
all_prior,2009,R64,Ohio St.,8,9,0.7424242424242425,-138,118,-2.0,-2,False,False,False
all_prior,2009,R64,Utah,5,12,0.609090909090909,-120,100,-1.0,-13,False,False,False
all_prior,2009,R64,Wake Forest,4,13,0.609090909090909,-355,295,-8.0,-15,False,False,False
all_prior,2009,R64,West Virginia,6,11,0.9583333333333334,-640,470,-10.0,-8,False,False,False
all_prior,2009,R64,Kansas,3,14,0.9249999999999999,-450,360,-8.5,10,True,True,False
all_prior,2009,R64,USC,10,7,0.6333333333333333,-135,115,-2.0,17,True,True,False
all_prior,2009,R64,Michigan St.,2,15,0.9249999999999999,-1500,1050,-15.0,15,True,False,True
all_prior,2009,R32,Louisville,1,9,0.9090909090909092,-1100,775,-12.0,7,True,False,False
all_prior,2009,R32,Arizona,12,13,0.9249999999999999,-145,125,-2.5,14,True,True,False
all_prior,2009,R32,Kansas,3,11,0.9249999999999999,-380,310,-8.0,17,True,True,False
all_prior,2009,R32,Michigan St.,2,10,0.8757575757575758,-185,165,-4.0,5,True,True,False
all_prior,2009,S16,Louisville,1,12,0.8674242424242425,-520,420,-9.5,39,True,True,False
all_prior,2009,S16,Michigan St.,2,3,0.7646464646464647,-105,-115,0.0,5,True,True,False
all_prior,2009,E8,Louisville,1,2,0.8757575757575758,-325,265,-6.5,-12,False,False,False
all_prior,2009,Championship,North Carolina,1,2,0.8340909090909091,-370,310,-7.0,17,True,True,False
all_prior,2010,R64,Duke,1,16,0.8115773115773116,-20000,10500,-24.5,29,True,True,False
all_prior,2010,R64,California,8,9,0.7307692307692307,-118,-102,-1.0,15,True,True,False
all_prior,2010,R64,Texas A&M,5,12,0.611111111111111,-158,138,-3.0,16,True,True,False
all_prior,2010,R64,Purdue,4,13,0.7307692307692307,-215,178,-4.5,8,True,True,False
all_prior,2010,R64,Notre Dame,6,11,0.7222222222222222,-135,115,-2.0,-1,False,False,False
all_prior,2010,R64,Baylor,3,14,0.6752136752136751,-550,425,-10.0,9,True,False,False
all_prior,2010,R64,Richmond,7,10,0.5,-120,100,-1.5,-9,False,False,False
all_prior,2010,R64,Villanova,2,15,0.8988070752776635,-3000,2000,-16.5,3,True,False,False
all_prior,2010,R32,Duke,1,8,0.9500891265597148,-290,245,-6.5,15,True,True,False
all_prior,2010,R32,Purdue,4,5,0.8115773115773116,115,-135,2.5,2,True,True,False
all_prior,2010,R32,Baylor,3,11,0.7307692307692307,-205,173,-4.5,8,True,True,False
all_prior,2010,R32,Villanova,2,10,0.8475250239956122,-215,178,-4.5,-7,False,False,False
all_prior,2010,S16,Duke,1,4,0.8475250239956122,-450,350,-8.5,13,True,True,False
all_prior,2010,S16,Baylor,3,10,0.6752136752136751,-230,190,-5.0,23,True,True,False
