YEAR,DATE,AWAY,HOME,NEUTRAL,ML_AWAY,ML_HOME,AWAY_KEY,HOME_KEY
2008,2007-11-10,SEMissouriSt,Xavier,False,1500,-3500,semissouristate,xavier
2008,2007-11-10,AustinPeay,Vanderbilt,False,575,-725,austinpeay,vanderbilt
2008,2007-11-10,Rider,MurrayState,False,275,-325,rider,murraystate
2008,2007-11-10,UtahState,WeberState,False,-135,115,utahstate,weberstate
2008,2007-11-11,Brown,Michigan,False,850,-1300,brown,michigan
2008,2007-11-11,Nevada,CentralFlorida,False,145,-165,nevada,ucf
2008,2007-11-11,Northeastern,Illinois,False,1450,-2500,northeastern,illinois
2008,2007-11-11,SaintLouis,Pittsburgh,False,700,-1000,saintlouis,pittsburgh
2008,2007-11-11,CalPolySLO,NoIllinois,True,-300,250,calpoly,noillinois
2008,2007-11-11,Massachusetts,NorthernIowa,False,155,-175,massachusetts,northerniowa
2008,2007-11-11,Liberty,PortlandU,True,100,-120,liberty,portland
2008,2007-11-11,SanDiegoState,FresnoState,False,130,-150,sandiegostate,fresnostate
2008,2007-11-11,NorthwesternSt,Harvard,True,-235,195,northwesternstate,harvard
2008,2007-11-11,CalSantaBarb,Stanford,False,1000,-1600,ucsantabarbara,stanford
2008,2007-11-11,WesternMichigan,Pepperdine,True,-425,355,westernmichigan,pepperdine
2008,2007-11-11,Pacific,Oregon,False,1100,-1800,pacific,oregon
2008,2007-11-11,Belmont,WesternCarolina,True,-130,110,belmont,westerncarolina
2008,2007-11-11,BowlingGreen,Cincinnati,False,285,-335,bowlinggreen,cincinnati
2008,2007-11-11,Hampton,Tulsa,True,400,-500,hampton,tulsa
2008,2007-11-11,NorthFlorida,Maryland,False,5000,-10000,northflorida,maryland
2008,2007-11-11,Pennsylvania,LoyolaMaryland,False,180,-210,penn,loyolamd
2008,2007-11-11,TennesseeTech,Florida,False,900,-1400,tennesseetech,florida
2008,2007-11-11,Samford,Evansville,False,475,-600,samford,evansville
2008,2007-11-11,Montana,Gonzaga,False,600,-800,montana,gonzaga
2008,2007-11-11,Delaware,Marist,False,400,-500,delaware,maristate
2008,2007-11-11,GeorgiaTech,TennesseeState,False,-360,300,georgiatech,tennesseestate
2008,2007-11-12,FlaAtlantic,BostonCollege,False,1000,-1500,flaatlantic,bostoncollege
2008,2007-11-12,NewMexicoState,Duke,False,2250,-4500,newmexicostate,duke
2008,2007-11-12,ArkansasLR,LoyolaMarymount,False,-135,115,littlerock,loyolamarymount
2008,2007-11-12,NorthFlorida,Tulsa,True,1000,-1500,northflorida,tulsa
2008,2007-11-12,Hampton,Maryland,False,1150,-1800,hampton,maryland
2008,2007-11-12,DelawareState,Columbia,True,135,-155,delawarestate,columbia
2008,2007-11-12,WiscGreenBay,OhioState,False,1000,-1500,greenbay,ohiostate
2008,2007-11-12,Siena,Syracuse,False,700,-1100,siena,syracuse
2008,2007-11-12,FairDickinson,St.Josephs,True,1150,-1800,fairleighdickinson,saintjosephs
2008,2007-11-12,Pacific,Pepperdine,True,-480,383,pacific,pepperdine
2008,2007-11-12,WesternMichigan,Oregon,False,850,-1300,westernmichigan,oregon
2008,2007-11-12,CentralMissouriSt,Fordham,True,1000,-1500,centralmissouristate,fordham
2008,2007-11-12,CentralMichigan,Missouri,False,1250,-2000,centralmichigan,missouri
2008,2007-11-12,CSSanBernardino,WeberState,True,360,-450,cssanbernardino,weberstate
2008,2007-11-12,YoungstownState,UCLA,False,3500,-8500,youngstownstate,ucla
2008,2007-11-12,GeorgiaSouthern,FloridaState,False,1315,-2200,georgiasouthern,floridastate
2008,2007-11-12,TennesseeChat,IndianaU,False,2000,-4000,chattanooga,indiana
2008,2007-11-12,AppalachianSt,NCCharlotte,False,145,-165,appalachianstate,nccharlotte
2008,2007-11-12,TheCitadel,SouthCarolina,False,2500,-5000,thecitadel,southcarolina
2008,2007-11-12,Furman,Clemson,False,2500,-5000,furman,clemson
2008,2007-11-12,E.Washington,NewMexico,False,1850,-3750,easternwashington,newmexico
2008,2007-11-13,Vanderbilt,Toledo,False,-230,190,vanderbilt,toledo
2008,2007-11-13,ClevelandState,GeorgeMason,False,700,-1100,clevelandstate,georgemason
2008,2007-11-13,SouthFlorida,Buffalo,False,-125,105,southflorida,buffalo
2008,2007-11-13,SouthAlabama,Mississippi,False,650,-1000,southalabama,mississippi
2008,2007-11-13,Rice,TCU,False,600,-900,rice,tcu
2008,2007-11-13,Richmond,EastCarolina,False,145,-165,richmond,eastcarolina
2008,2007-11-13,WashingtonState,BoiseState,False,-320,260,washingtonstate,boisestate
2008,2007-11-13,Wyoming,DenverU,False,-400,325,wyoming,denver
2008,2007-11-13,Nevada,CalIrvine,False,-125,105,nevada,ucirvine
2008,2007-11-13,ChicagoSt.,MichiganState,False,3000,-7000,chicagostate,michiganstate
2008,2007-11-13,UTEP,TexasA&MCorpus,True,-650,475,utep,texasaandmcorpus
2008,2007-11-13,OralRoberts,TexasA&M,False,1250,-2000,oralroberts,texasaandm
2008,2007-11-13,DelawareState,Wisc-GreenBay,True,235,-275,delawarestate,greenbay
2008,2007-11-13,Columbia,OhioSt.,False,2250,-4500,columbia,ohiostate
2008,2007-11-13,St.Josephs,Syracuse,False,200,-240,saintjosephs,syracuse
2008,2007-11-13,FairDickinson,Siena,True,500,-700,fairleighdickinson,siena
2008,2007-11-13,CentralMissouriSt,CentralMich,True,245,-290,centralmissouristate,centralmich
2008,2007-11-13,Fordham,Missouri,False,360,-450,fordham,missouri
2008,2007-11-13,YoungstownSt.,WeberSt.,True,160,-185,youngstownstate,weberstate
2008,2007-11-13,CSSanBernardino,UCLA,False,7000,-18500,cssanbernardino,ucla
2008,2007-11-13,HighPoint,UtahU,True,243,-285,highpoint,utah
2008,2007-11-13,LoyolaChicago,EasternIllinois,True,-140,120,loyolachicago,easternillinois
2008,2007-11-13,NorthernArizona,Arizona,True,2500,-5000,northernarizona,arizona
